,osmid,highway,lon,lat,geometry
24372,65470672,,-121.9088798,37.3578404,POINT (-121.9088798 37.3578404)
24373,65601744,,-121.8931072,37.3169378,POINT (-121.8931072 37.3169378)
24374,262471888,turning_circle,-121.81717,37.2708368,POINT (-121.81717 37.2708368)
24375,65470675,,-121.9099577,37.3592837,POINT (-121.9099577 37.3592837)
24376,65470676,,-122.1608403,37.4547016,POINT (-122.1608403 37.4547016)
24377,65470677,,-121.9112302,37.3609876,POINT (-121.9112302 37.3609876)
24378,65601749,turning_circle,-121.8093262,37.2671331,POINT (-121.8093262 37.2671331)
24379,65470679,,-121.9118255,37.3618147,POINT (-121.9118255 37.3618147)
24380,65470680,stop,-122.1556779,37.4559635,POINT (-122.1556779 37.4559635)
24381,65601754,,-121.9852517,37.2231396,POINT (-121.9852517 37.2231396)
24382,262471899,turning_circle,-121.8202244,37.2699808,POINT (-121.8202244 37.2699808)
24383,65601758,,-121.7795163,37.2985476,POINT (-121.7795163 37.2985476)
24384,65470690,,-121.8196891,37.2667231,POINT (-121.8196891 37.2667231)
24385,65470693,,-121.8177055,37.2657036,POINT (-121.8177055 37.2657036)
24386,65601767,turning_circle,-121.8556993,37.4079201,POINT (-121.8556993 37.4079201)
24387,53018856,,-121.9821179,37.5270031,POINT (-121.9821179 37.5270031)
24388,65470695,,-121.8175255,37.2657741,POINT (-121.8175255 37.2657741)
24389,3968663787,,-121.8795847,37.3904267,POINT (-121.8795847 37.3904267)
24390,65470699,,-121.8166552,37.265477,POINT (-121.8166552 37.265477)
24391,65470707,,-122.01322,37.3610594,POINT (-122.01322 37.3610594)
24392,700776692,,-122.0519433,37.4046888,POINT (-122.0519433 37.4046888)
24393,65470709,,-122.0132714,37.3590537,POINT (-122.0132714 37.3590537)
24394,65601780,,-122.0375677,37.2628775,POINT (-122.0375677 37.2628775)
24395,65470711,,-122.0129995,37.3562007,POINT (-122.0129995 37.3562007)
24396,65601783,,-122.0386263,37.2642298,POINT (-122.0386263 37.2642298)
24397,5286985985,crossing,-121.8906312,37.3335221,POINT (-121.8906312 37.3335221)
24398,65470732,,-122.1471458,37.4568206,POINT (-122.1471458 37.4568206)
24399,65470738,,-121.8109664,37.3748746,POINT (-121.8109664 37.3748746)
24400,65470741,,-121.8126336,37.3755439,POINT (-121.8126336 37.3755439)
24401,65470744,,-121.8130031,37.3756544,POINT (-121.8130031 37.3756544)
24402,65470750,,-121.8159666,37.3781642,POINT (-121.8159666 37.3781642)
24403,65470753,,-122.1450219,37.4584275,POINT (-122.1450219 37.4584275)
24404,65470760,,-122.143517,37.4583176,POINT (-122.143517 37.4583176)
24405,65470765,traffic_signals,-122.1417229,37.4579721,POINT (-122.1417229 37.4579721)
24406,65470767,,-121.8053445,37.3719689,POINT (-121.8053445 37.3719689)
24407,2424242480,,-121.9215791,37.4135452,POINT (-121.9215791 37.4135452)
24408,65470768,,-122.1410686,37.4577017,POINT (-122.1410686 37.4577017)
24409,65470772,,-121.9841999,37.3841157,POINT (-121.9841999 37.3841157)
24410,65470778,,-122.1367469,37.454652,POINT (-122.1367469 37.454652)
24411,7335903549,,-121.9385594,37.331907,POINT (-121.9385594 37.331907)
24412,7335903550,,-121.938784,37.3316996,POINT (-121.938784 37.3316996)
24413,65470787,,-121.9839263,37.3872882,POINT (-121.9839263 37.3872882)
24414,65470792,stop,-122.1083644,37.3925063,POINT (-122.1083644 37.3925063)
24415,65470795,,-122.1063995,37.3952869,POINT (-122.1063995 37.3952869)
24416,259981647,motorway_junction,-121.8699857,37.3912151,POINT (-121.8699857 37.3912151)
24417,65601877,turning_circle,-122.0084384,37.2705733,POINT (-122.0084384 37.2705733)
24418,65601881,,-122.0094169,37.2714817,POINT (-122.0094169 37.2714817)
24419,65470810,,-122.1228218,37.3734083,POINT (-122.1228218 37.3734083)
24420,65470816,,-121.8017533,37.3323389,POINT (-121.8017533 37.3323389)
24421,65470818,turning_circle,-121.8003787,37.3326073,POINT (-121.8003787 37.3326073)
24422,7113736567,,-122.0441857,37.2574925,POINT (-122.0441857 37.2574925)
24423,65470844,,-122.0091294,37.3430424,POINT (-122.0091294 37.3430424)
24424,65601918,,-122.0347318,37.2567194,POINT (-122.0347318 37.2567194)
24425,308871551,turning_circle,-121.8321845,37.2540475,POINT (-121.8321845 37.2540475)
24426,65470847,,-122.0090849,37.3415191,POINT (-122.0090849 37.3415191)
24427,65601922,,-122.0386427,37.2588748,POINT (-122.0386427 37.2588748)
24428,5905777027,,-122.0092166,37.395971,POINT (-122.0092166 37.395971)
24429,5905777034,turning_circle,-122.0099771,37.3953994,POINT (-122.0099771 37.3953994)
24430,65470862,turning_circle,-121.8638367,37.3726654,POINT (-121.8638367 37.3726654)
24431,65470863,,-121.8641649,37.3729756,POINT (-121.8641649 37.3729756)
24432,65470866,,-121.7898175,37.3387346,POINT (-121.7898175 37.3387346)
24433,65470867,,-121.7863198,37.339557,POINT (-121.7863198 37.339557)
24434,310968724,,-121.9122368,37.2521905,POINT (-121.9122368 37.2521905)
24435,310968726,,-121.9122687,37.2518549,POINT (-121.9122687 37.2518549)
24436,395379097,,-121.9842879,37.3921642,POINT (-121.9842879 37.3921642)
24437,395379098,,-121.9840479,37.392443,POINT (-121.9840479 37.392443)
24438,65470874,,-121.8463558,37.2388828,POINT (-121.8463558 37.2388828)
24439,65470876,turning_circle,-121.8468879,37.2388691,POINT (-121.8468879 37.2388691)
24440,395379104,,-121.979601,37.3942623,POINT (-121.979601 37.3942623)
24441,65470881,,-122.0120249,37.2813669,POINT (-122.0120249 37.2813669)
24442,5036900770,,-122.1280116,37.44649,POINT (-122.1280116 37.44649)
24443,65470883,turning_circle,-122.0131443,37.2821373,POINT (-122.0131443 37.2821373)
24444,5036900777,,-122.1279528,37.4462064,POINT (-122.1279528 37.4462064)
24445,65470892,,-122.070267,37.3863089,POINT (-122.070267 37.3863089)
24446,65470893,turning_circle,-122.189882,37.4350787,POINT (-122.189882 37.4350787)
24447,65470894,,-122.0702308,37.3853646,POINT (-122.0702308 37.3853646)
24448,65470895,,-122.1910504,37.4357203,POINT (-122.1910504 37.4357203)
24449,65470899,,-122.0703489,37.384608,POINT (-122.0703489 37.384608)
24450,65470900,,-122.0708263,37.3839899,POINT (-122.0708263 37.3839899)
24451,65470908,,-121.8392463,37.3118234,POINT (-121.8392463 37.3118234)
24452,65601981,turning_circle,-121.803613,37.2600659,POINT (-121.803613 37.2600659)
24453,65470910,,-121.8363624,37.3136665,POINT (-121.8363624 37.3136665)
24454,65470912,,-121.8355641,37.3141717,POINT (-121.8355641 37.3141717)
24455,447939016,,-121.9865477,37.377597,POINT (-121.9865477 37.377597)
24456,65601996,,-121.9502215,37.3338747,POINT (-121.9502215 37.3338747)
24457,65470929,,-121.8714191,37.2278834,POINT (-121.8714191 37.2278834)
24458,65470937,turning_circle,-121.8716706,37.2290592,POINT (-121.8716706 37.2290592)
24459,65602010,turning_circle,-122.1073591,37.4219278,POINT (-122.1073591 37.4219278)
24460,65470940,,-122.0115386,37.3610783,POINT (-122.0115386 37.3610783)
24461,65602016,,-122.0432659,37.3628107,POINT (-122.0432659 37.3628107)
24462,65602017,,-122.043609,37.3615339,POINT (-122.043609 37.3615339)
24463,65602018,turning_loop,-122.1310605,37.3932181,POINT (-122.1310605 37.3932181)
24464,65602021,,-121.8826651,37.4335867,POINT (-121.8826651 37.4335867)
24465,65602023,,-121.8810507,37.4314743,POINT (-121.8810507 37.4314743)
24466,447939048,,-121.9860727,37.3771246,POINT (-121.9860727 37.3771246)
24467,437322218,,-122.0711165,37.3382309,POINT (-122.0711165 37.3382309)
24468,65602026,stop,-122.0232061,37.3200567,POINT (-122.0232061 37.3200567)
24469,437322223,,-122.074756,37.3392273,POINT (-122.074756 37.3392273)
24470,65470967,turning_circle,-122.0980739,37.3721387,POINT (-122.0980739 37.3721387)
24471,65602040,,-121.8794973,37.3789018,POINT (-121.8794973 37.3789018)
24472,65470969,,-122.0980958,37.3707897,POINT (-122.0980958 37.3707897)
24473,447939070,,-121.9859842,37.3771262,POINT (-121.9859842 37.3771262)
24474,65470975,,-121.8207678,37.3500982,POINT (-121.8207678 37.3500982)
24475,65470978,,-121.8204374,37.3495906,POINT (-121.8204374 37.3495906)
24476,447939075,,-121.9856607,37.377595,POINT (-121.9856607 37.377595)
24477,65470981,,-121.8165605,37.3456383,POINT (-121.8165605 37.3456383)
24478,5668405767,traffic_signals,-121.8962229,37.3375538,POINT (-121.8962229 37.3375538)
24479,5668405768,,-121.8961051,37.3375015,POINT (-121.8961051 37.3375015)
24480,5668405769,traffic_signals,-121.8962345,37.3374433,POINT (-121.8962345 37.3374433)
24481,65470987,,-121.8150802,37.3433103,POINT (-121.8150802 37.3433103)
24482,53150222,turning_circle,-122.01415,37.5271665,POINT (-122.01415 37.5271665)
24483,65470993,,-121.8800394,37.4233364,POINT (-121.8800394 37.4233364)
24484,65602071,turning_circle,-121.8053339,37.3642551,POINT (-121.8053339 37.3642551)
24485,517276183,,-121.9814561,37.2278789,POINT (-121.9814561 37.2278789)
24486,65471005,,-121.9497987,37.2817077,POINT (-121.9497987 37.2817077)
24487,65471009,,-121.9541961,37.2816917,POINT (-121.9541961 37.2816917)
24488,288686634,turning_circle,-121.8218269,37.4027298,POINT (-121.8218269 37.4027298)
24489,65471022,,-121.9113556,37.4442652,POINT (-121.9113556 37.4442652)
24490,686359099,,-122.0262354,37.416684,POINT (-122.0262354 37.416684)
