,osmid,highway,lon,lat,geometry
0,65306635,,-122.4403707,37.7152221,POINT (-122.4403707 37.7152221)
1,5828476940,crossing,-122.4084505,37.7883767,POINT (-122.4084505 37.7883767)
2,65306641,,-122.4394212,37.713005,POINT (-122.4394212 37.713005)
3,287834139,traffic_signals,-122.4592688,37.7472225,POINT (-122.4592688 37.7472225)
4,65306651,,-122.4387955,37.711038,POINT (-122.4387955 37.711038)
5,65306655,,-122.4384744,37.7110236,POINT (-122.4384744 37.7110236)
6,65306661,,-122.4376445,37.7101219,POINT (-122.4376445 37.7101219)
7,65306667,,-122.422255,37.7403035,POINT (-122.422255 37.7403035)
8,4018962479,,-122.4317322,37.7700402,POINT (-122.4317322 37.7700402)
9,4022927416,traffic_signals,-122.4637661,37.7736374,POINT (-122.4637661 37.7736374)
10,65306680,,-122.4266889,37.743705,POINT (-122.4266889 37.743705)
11,65306682,,-122.4288836,37.7435712,POINT (-122.4288836 37.7435712)
12,65306684,,-122.4311005,37.7434366,POINT (-122.4311005 37.7434366)
13,65306688,,-122.4346224,37.7432226,POINT (-122.4346224 37.7432226)
14,65339460,traffic_signals,-122.4395529,37.7833764,POINT (-122.4395529 37.7833764)
15,65306694,,-122.4051009,37.7473761,POINT (-122.4051009 37.7473761)
16,315424842,,-122.4813454,37.7241778,POINT (-122.4813454 37.7241778)
17,65306706,stop,-122.3791187,37.7376899,POINT (-122.3791187 37.7376899)
18,65306711,,-122.3794277,37.7367732,POINT (-122.3794277 37.7367732)
19,65306712,stop,-122.3794311,37.7362715,POINT (-122.3794311 37.7362715)
20,65306714,,-122.379444,37.73528,POINT (-122.379444 37.73528)
21,275513443,,-122.4219292,37.7439943,POINT (-122.4219292 37.7439943)
22,65372268,traffic_signals,-122.3981915,37.7961842,POINT (-122.3981915 37.7961842)
23,258965613,,-122.3926006,37.7937142,POINT (-122.3926006 37.7937142)
24,258965616,traffic_signals,-122.395556,37.7966342,POINT (-122.395556 37.7966342)
25,258965618,traffic_signals,-122.3977885,37.7991793,POINT (-122.3977885 37.7991793)
26,258965620,traffic_signals,-122.3992608,37.8008478,POINT (-122.3992608 37.8008478)
27,65306741,,-122.461134,37.7489861,POINT (-122.461134 37.7489861)
28,65339516,,-122.4410012,37.7907581,POINT (-122.4410012 37.7907581)
29,65339518,,-122.4413549,37.7925158,POINT (-122.4413549 37.7925158)
30,65339521,,-122.4419222,37.795323,POINT (-122.4419222 37.795323)
31,65339524,,-122.4438106,37.8046451,POINT (-122.4438106 37.8046451)
32,65306764,,-122.460761,37.7484224,POINT (-122.460761 37.7484224)
33,65306766,,-122.4608398,37.7480829,POINT (-122.4608398 37.7480829)
34,65372305,,-122.3836062,37.7577521,POINT (-122.3836062 37.7577521)
35,65306774,,-122.461856,37.7473251,POINT (-122.461856 37.7473251)
36,65306785,traffic_signals,-122.3916518,37.792,POINT (-122.3916518 37.792)
37,65306787,traffic_signals,-122.3934057,37.7906148,POINT (-122.3934057 37.7906148)
38,1636827301,,-122.4095133,37.7397233,POINT (-122.4095133 37.7397233)
39,65306789,traffic_signals,-122.3942801,37.7899232,POINT (-122.3942801 37.7899232)
40,1636827304,,-122.4126087,37.7483314,POINT (-122.4126087 37.7483314)
41,65306793,traffic_signals,-122.3951477,37.7892316,POINT (-122.3951477 37.7892316)
42,7233994921,,-122.3998945,37.7950855,POINT (-122.3998945 37.7950855)
43,65306795,traffic_signals,-122.3960285,37.7885423,POINT (-122.3960285 37.7885423)
44,65306797,traffic_signals,-122.3982588,37.786773,POINT (-122.3982588 37.786773)
45,7233994925,,-122.4003821,37.7952742,POINT (-122.4003821 37.7952742)
46,65306800,traffic_signals,-122.3989843,37.7862063,POINT (-122.3989843 37.7862063)
47,65306802,traffic_signals,-122.3993791,37.7858875,POINT (-122.3993791 37.7858875)
48,65306804,traffic_signals,-122.4027076,37.7832509,POINT (-122.4027076 37.7832509)
49,65306810,traffic_signals,-122.4049417,37.7814932,POINT (-122.4049417 37.7814932)
50,65339581,traffic_signals,-122.446383,37.711436,POINT (-122.446383 37.711436)
51,65306815,,-122.4077053,37.7792988,POINT (-122.4077053 37.7792988)
52,65339584,,-122.4461803,37.7110381,POINT (-122.4461803 37.7110381)
53,65306817,,-122.4082752,37.7788519,POINT (-122.4082752 37.7788519)
54,65372351,,-122.3983497,37.7573228,POINT (-122.3983497 37.7573228)
55,65306819,,-122.409923,37.777553,POINT (-122.409923 37.777553)
56,65339586,,-122.4452173,37.7092591,POINT (-122.4452173 37.7092591)
57,65306822,,-122.410506,37.777092,POINT (-122.410506 37.777092)
58,7253688521,,-122.4583681,37.7986697,POINT (-122.4583681 37.7986697)
59,65306827,traffic_signals,-122.4116159,37.7762133,POINT (-122.4116159 37.7762133)
60,65306829,traffic_signals,-122.4131528,37.7749999,POINT (-122.4131528 37.7749999)
61,7253688527,,-122.4548109,37.8012527,POINT (-122.4548109 37.8012527)
62,65306832,,-122.413769,37.774516,POINT (-122.413769 37.774516)
63,65306835,,-122.4139536,37.7743701,POINT (-122.4139536 37.7743701)
64,65503444,turning_circle,-122.4866479,37.7038188,POINT (-122.4866479 37.7038188)
65,65306838,traffic_signals,-122.414368,37.774043,POINT (-122.414368 37.774043)
66,2371453143,,-122.4326044,37.7465216,POINT (-122.4326044 37.7465216)
67,65339607,,-122.3908445,37.7111298,POINT (-122.3908445 37.7111298)
68,65306840,traffic_signals,-122.4155785,37.7730974,POINT (-122.4155785 37.7730974)
69,2371453146,,-122.432612,37.746604,POINT (-122.432612 37.746604)
70,65306842,,-122.4163229,37.7724541,POINT (-122.4163229 37.7724541)
71,65306847,traffic_signals,-122.416942,37.7717386,POINT (-122.416942 37.7717386)
72,65306853,,-122.4174447,37.7708558,POINT (-122.4174447 37.7708558)
73,65339622,,-122.3940207,37.7113938,POINT (-122.3940207 37.7113938)
74,65372394,,-122.4525967,37.73565,POINT (-122.4525967 37.73565)
75,65339635,,-122.3946756,37.7112241,POINT (-122.3946756 37.7112241)
76,65306869,stop,-122.4248865,37.7390117,POINT (-122.4248865 37.7390117)
77,65339638,,-122.3948396,37.7110394,POINT (-122.3948396 37.7110394)
78,65306872,,-122.425815,37.738952,POINT (-122.425815 37.738952)
79,65306875,,-122.4281112,37.738669,POINT (-122.4281112 37.738669)
80,330662141,traffic_signals,-122.4078885,37.7986957,POINT (-122.4078885 37.7986957)
81,65306880,,-122.4287614,37.7385083,POINT (-122.4287614 37.7385083)
82,65339650,,-122.3944168,37.7089109,POINT (-122.3944168 37.7089109)
83,65306887,,-122.4789838,37.7916497,POINT (-122.4789838 37.7916497)
84,65339656,stop,-122.3908983,37.7103454,POINT (-122.3908983 37.7103454)
85,65339664,,-122.3946084,37.7111562,POINT (-122.3946084 37.7111562)
86,5318541585,crossing,-122.3972247,37.7925794,POINT (-122.3972247 37.7925794)
87,65306901,,-122.3889239,37.7161528,POINT (-122.3889239 37.7161528)
88,65306909,turning_circle,-122.3884119,37.7150628,POINT (-122.3884119 37.7150628)
89,65339690,,-122.4710351,37.749776,POINT (-122.4710351 37.749776)
90,342655282,traffic_signals,-122.4738611,37.7044518,POINT (-122.4738611 37.7044518)
91,65306931,,-122.4077078,37.7826157,POINT (-122.4077078 37.7826157)
92,65339704,,-122.4717821,37.7488408,POINT (-122.4717821 37.7488408)
93,65306940,,-122.4164474,37.7756999,POINT (-122.4164474 37.7756999)
94,65306942,,-122.4169784,37.7752726,POINT (-122.4169784 37.7752726)
95,65306956,,-122.4153262,37.776714,POINT (-122.4153262 37.776714)
96,65306958,,-122.4165267,37.7757638,POINT (-122.4165267 37.7757638)
97,258965840,traffic_signals,-122.4074211,37.8073668,POINT (-122.4074211 37.8073668)
98,258965841,traffic_signals,-122.4091115,37.8081232,POINT (-122.4091115 37.8081232)
99,7393935708,,-122.4422065,37.7589292,POINT (-122.4422065 37.7589292)
100,65306982,,-122.4210849,37.7716782,POINT (-122.4210849 37.7716782)
101,4353687911,,-122.4454249,37.7315189,POINT (-122.4454249 37.7315189)
102,4353687912,,-122.4454242,37.7316082,POINT (-122.4454242 37.7316082)
103,300515687,traffic_signals,-122.4178016,37.7698642,POINT (-122.4178016 37.7698642)
104,4034101610,,-122.493362,37.7340116,POINT (-122.493362 37.7340116)
105,65306985,,-122.421031,37.771008,POINT (-122.421031 37.771008)
106,302481791,,-122.5040735,37.7840309,POINT (-122.5040735 37.7840309)
107,1501430147,,-122.4554297,37.7431657,POINT (-122.4554297 37.7431657)
108,1501430148,,-122.4583353,37.7462753,POINT (-122.4583353 37.7462753)
109,65307023,,-122.4548725,37.8010045,POINT (-122.4548725 37.8010045)
110,65339793,,-122.4603051,37.7703799,POINT (-122.4603051 37.7703799)
111,65307035,,-122.4410598,37.7616658,POINT (-122.4410598 37.7616658)
112,6348636575,,-122.4441209,37.7237317,POINT (-122.4441209 37.7237317)
113,65307040,,-122.4409304,37.7605317,POINT (-122.4409304 37.7605317)
114,6348636580,,-122.4449076,37.7226768,POINT (-122.4449076 37.7226768)
115,6348636581,,-122.4450549,37.7226124,POINT (-122.4450549 37.7226124)
116,288981412,,-122.4207889,37.746472,POINT (-122.4207889 37.746472)
117,65307050,,-122.4409136,37.7331072,POINT (-122.4409136 37.7331072)
118,288981418,,-122.4208946,37.7411658,POINT (-122.4208946 37.7411658)
119,65307056,,-122.4119388,37.741981,POINT (-122.4119388 37.741981)
120,1501430193,,-122.456065,37.7464816,POINT (-122.456065 37.7464816)
121,65307059,,-122.4119488,37.741754,POINT (-122.4119488 37.741754)
122,65307062,,-122.41199,37.7414253,POINT (-122.41199 37.7414253)
123,65405372,,-122.4488515,37.7064474,POINT (-122.4488515 37.7064474)
124,65307069,,-122.4120648,37.7396794,POINT (-122.4120648 37.7396794)
125,65405375,,-122.4510291,37.7057483,POINT (-122.4510291 37.7057483)
126,65307075,,-122.412125,37.738244,POINT (-122.412125 37.738244)
127,65307077,,-122.4122399,37.7370005,POINT (-122.4122399 37.7370005)
128,1501430216,traffic_signals,-122.4587133,37.746827,POINT (-122.4587133 37.746827)
129,65339848,,-122.425633,37.7687781,POINT (-122.425633 37.7687781)
130,65372618,,-122.4732518,37.7346094,POINT (-122.4732518 37.7346094)
131,65307082,,-122.4124467,37.7346738,POINT (-122.4124467 37.7346738)
132,65307093,,-122.422775,37.764039,POINT (-122.422775 37.764039)
133,1501430234,,-122.4572788,37.7454364,POINT (-122.4572788 37.7454364)
134,65307098,,-122.4239836,37.7639726,POINT (-122.4239836 37.7639726)
135,3386704350,,-122.4188648,37.7724921,POINT (-122.4188648 37.7724921)
136,3386704351,,-122.4184981,37.7723987,POINT (-122.4184981 37.7723987)
137,5838995940,,-122.39243,37.7649565,POINT (-122.39243 37.7649565)
138,440336868,traffic_signals,-122.4591305,37.7067415,POINT (-122.4591305 37.7067415)
139,65307109,,-122.3836171,37.7365523,POINT (-122.3836171 37.7365523)
140,262078981,traffic_signals,-122.4278321,37.8008491,POINT (-122.4278321 37.8008491)
141,262078982,traffic_signals,-122.4294805,37.8006396,POINT (-122.4294805 37.8006396)
142,262078983,traffic_signals,-122.4311216,37.8004306,POINT (-122.4311216 37.8004306)
143,262078984,traffic_signals,-122.4327666,37.800221,POINT (-122.4327666 37.800221)
144,262078985,traffic_signals,-122.4344121,37.8000116,POINT (-122.4344121 37.8000116)
145,262078986,traffic_signals,-122.4360562,37.7998022,POINT (-122.4360562 37.7998022)
146,262078987,traffic_signals,-122.4377013,37.7995927,POINT (-122.4377013 37.7995927)
147,262078988,traffic_signals,-122.4393441,37.7993835,POINT (-122.4393441 37.7993835)
148,262078989,traffic_signals,-122.4409903,37.7991739,POINT (-122.4409903 37.7991739)
149,65307150,stop,-122.493135,37.7865982,POINT (-122.493135 37.7865982)
150,65307164,,-122.4924807,37.7829179,POINT (-122.4924807 37.7829179)
151,65307165,,-122.4923913,37.7816809,POINT (-122.4923913 37.7816809)
152,6348636700,,-122.4417482,37.7265648,POINT (-122.4417482 37.7265648)
153,65307169,,-122.492113,37.7778316,POINT (-122.492113 37.7778316)
154,318308897,,-122.4431285,37.7081279,POINT (-122.4431285 37.7081279)
155,65307172,,-122.4919782,37.7759661,POINT (-122.4919782 37.7759661)
156,300515878,traffic_signals,-122.419912,37.770197,POINT (-122.419912 37.770197)
157,1501430311,,-122.458896,37.7470217,POINT (-122.458896 37.7470217)
158,65307175,,-122.4918432,37.7740984,POINT (-122.4918432 37.7740984)
159,1501430315,crossing,-122.4588098,37.7467136,POINT (-122.4588098 37.7467136)
160,542900781,,-122.4317257,37.8035017,POINT (-122.4317257 37.8035017)
161,542900782,traffic_signals,-122.4314708,37.8033522,POINT (-122.4314708 37.8033522)
162,65307184,,-122.4910764,37.7629569,POINT (-122.4910764 37.7629569)
163,65307186,,-122.4909455,37.7610911,POINT (-122.4909455 37.7610911)
164,65307188,,-122.4908148,37.7592257,POINT (-122.4908148 37.7592257)
165,65307191,,-122.4905535,37.7554962,POINT (-122.4905535 37.7554962)
166,65372728,,-122.4965621,37.7338784,POINT (-122.4965621 37.7338784)
167,65307195,,-122.490292,37.7517639,POINT (-122.490292 37.7517639)
168,65307198,,-122.4901616,37.7499026,POINT (-122.4901616 37.7499026)
169,65307200,,-122.4900308,37.7480373,POINT (-122.4900308 37.7480373)
170,65307202,,-122.4899001,37.746171,POINT (-122.4899001 37.746171)
171,65307205,,-122.4896417,37.7424416,POINT (-122.4896417 37.7424416)
172,65307208,,-122.489508,37.7405756,POINT (-122.489508 37.7405756)
173,65471074,,-122.4655442,37.7072039,POINT (-122.4655442 37.7072039)
174,342655598,traffic_signals,-122.4755837,37.7041728,POINT (-122.4755837 37.7041728)
175,65307248,,-122.4153058,37.7972947,POINT (-122.4153058 37.7972947)
176,65307251,,-122.4169503,37.7970734,POINT (-122.4169503 37.7970734)
177,65340028,,-122.3724341,37.7282512,POINT (-122.3724341 37.7282512)
178,65307263,traffic_signals,-122.4484009,37.7103599,POINT (-122.4484009 37.7103599)
179,65307266,,-122.4480474,37.7097047,POINT (-122.4480474 37.7097047)
180,65340034,,-122.3723251,37.7287672,POINT (-122.3723251 37.7287672)
181,65307268,,-122.4479244,37.7094767,POINT (-122.4479244 37.7094767)
182,65340042,,-122.4301762,37.7108876,POINT (-122.4301762 37.7108876)
183,65372811,,-122.4107791,37.7211865,POINT (-122.4107791 37.7211865)
184,2351399563,traffic_signals,-122.4270365,37.7801962,POINT (-122.4270365 37.7801962)
185,5443322510,,-122.4040702,37.7498723,POINT (-122.4040702 37.7498723)
186,65307287,,-122.4462231,37.7383826,POINT (-122.4462231 37.7383826)
187,1601995415,,-122.4799873,37.7284884,POINT (-122.4799873 37.7284884)
188,65372831,traffic_signals,-122.4053357,37.7970982,POINT (-122.4053357 37.7970982)
189,65372833,traffic_signals,-122.4055421,37.797072,POINT (-122.4055421 37.797072)
190,65307304,,-122.4484546,37.7650441,POINT (-122.4484546 37.7650441)
191,65340073,,-122.4049953,37.7697218,POINT (-122.4049953 37.7697218)
192,65307307,,-122.4482897,37.7642053,POINT (-122.4482897 37.7642053)
193,65340076,stop,-122.4047579,37.7672565,POINT (-122.4047579 37.7672565)
194,65307311,,-122.4481268,37.7633766,POINT (-122.4481268 37.7633766)
195,65340079,traffic_signals,-122.4046339,37.7659639,POINT (-122.4046339 37.7659639)
196,65307313,,-122.4478031,37.7617297,POINT (-122.4478031 37.7617297)
197,65340082,,-122.4040206,37.7595642,POINT (-122.4040206 37.7595642)
198,65307315,,-122.4476471,37.7609359,POINT (-122.4476471 37.7609359)
199,65372847,traffic_signals,-122.4233178,37.7948089,POINT (-122.4233178 37.7948089)
200,65340086,,-122.4038926,37.7589803,POINT (-122.4038926 37.7589803)
201,65307322,,-122.4496634,37.7696673,POINT (-122.4496634 37.7696673)
202,65307324,stop,-122.4494766,37.7687379,POINT (-122.4494766 37.7687379)
203,318309054,,-122.4433159,37.7058592,POINT (-122.4433159 37.7058592)
204,65307334,,-122.4589007,37.7653098,POINT (-122.4589007 37.7653098)
205,6681985734,,-122.4120842,37.7402325,POINT (-122.4120842 37.7402325)
206,890045127,traffic_signals,-122.3918575,37.7893859,POINT (-122.3918575 37.7893859)
207,65307337,,-122.4610422,37.7652193,POINT (-122.4610422 37.7652193)
208,65307339,,-122.464257,37.765076,POINT (-122.464257 37.765076)
209,890045132,traffic_signals,-122.3936259,37.787993,POINT (-122.3936259 37.787993)
210,890045131,traffic_signals,-122.392739,37.7886919,POINT (-122.392739 37.7886919)
211,65405652,turning_circle,-122.4139121,37.7009188,POINT (-122.4139121 37.7009188)
212,65307349,traffic_signals,-122.3965439,37.794602,POINT (-122.3965439 37.794602)
213,65307352,traffic_signals,-122.3978164,37.794441,POINT (-122.3978164 37.794441)
214,65307354,traffic_signals,-122.3989918,37.7942922,POINT (-122.3989918 37.7942922)
215,65307356,traffic_signals,-122.4001635,37.794144,POINT (-122.4001635 37.794144)
216,65307359,traffic_signals,-122.4013367,37.7939955,POINT (-122.4013367 37.7939955)
217,65307363,traffic_signals,-122.4046141,37.7935779,POINT (-122.4046141 37.7935779)
218,65307366,traffic_signals,-122.4061403,37.7933866,POINT (-122.4061403 37.7933866)
219,1718846184,,-122.4516514,37.7146848,POINT (-122.4516514 37.7146848)
220,65340136,,-122.4038432,37.7579705,POINT (-122.4038432 37.7579705)
221,258757443,traffic_signals,-122.4758681,37.7467916,POINT (-122.4758681 37.7467916)
222,65307368,,-122.4066624,37.7933207,POINT (-122.4066624 37.7933207)
223,65307376,traffic_signals,-122.4077359,37.7931851,POINT (-122.4077359 37.7931851)
224,65307381,traffic_signals,-122.4093646,37.792979,POINT (-122.4093646 37.792979)
225,65372918,traffic_signals,-122.4207223,37.7819539,POINT (-122.4207223 37.7819539)
226,5344658173,,-122.4060558,37.7479092,POINT (-122.4060558 37.7479092)
227,65372925,traffic_signals,-122.4091399,37.7834292,POINT (-122.4091399 37.7834292)
228,65307389,,-122.4110273,37.792765,POINT (-122.4110273 37.792765)
229,65307397,,-122.4126666,37.7925569,POINT (-122.4126666 37.7925569)
230,65307399,,-122.4143094,37.7923483,POINT (-122.4143094 37.7923483)
231,65307404,,-122.4159547,37.7921393,POINT (-122.4159547 37.7921393)
232,65307408,traffic_signals,-122.4176003,37.7919304,POINT (-122.4176003 37.7919304)
233,65307412,,-122.419245,37.7917216,POINT (-122.419245 37.7917216)
234,6522241813,,-122.443498,37.7579362,POINT (-122.443498 37.7579362)
235,65307414,traffic_signals,-122.4208894,37.7915127,POINT (-122.4208894 37.7915127)
236,65307417,traffic_signals,-122.4226089,37.7912944,POINT (-122.4226089 37.7912944)
237,65340189,,-122.4035239,37.7544635,POINT (-122.4035239 37.7544635)
238,65307438,stop,-122.4324,37.7900473,POINT (-122.4324 37.7900473)
239,65307440,traffic_signals,-122.4340431,37.7898377,POINT (-122.4340431 37.7898377)
240,65307443,,-122.4356874,37.789628,POINT (-122.4356874 37.789628)
241,65504054,,-122.4755457,37.7038786,POINT (-122.4755457 37.7038786)
242,65307448,,-122.4373295,37.7894197,POINT (-122.4373295 37.7894197)
243,65307453,,-122.4389765,37.7892107,POINT (-122.4389765 37.7892107)
244,4904616766,stop,-122.4134534,37.7686815,POINT (-122.4134534 37.7686815)
245,65307456,,-122.4439557,37.788579,POINT (-122.4439557 37.788579)
246,612729669,,-122.454604,37.7102455,POINT (-122.454604 37.7102455)
247,65307461,,-122.4456011,37.7883702,POINT (-122.4456011 37.7883702)
248,65307463,traffic_signals,-122.4469938,37.7881935,POINT (-122.4469938 37.7881935)
249,65307468,,-122.450321,37.7877684,POINT (-122.450321 37.7877684)
250,65307471,,-122.4536089,37.787349,POINT (-122.4536089 37.787349)
