,location_type,osmid,location_lat,location_long,tags
0,node,61670779,37.7721448,-122.4310153,pub
1,node,61671096,37.77191,-122.4312219,pub
2,node,61671382,37.7720543,-122.4317624,pub
3,node,61672275,37.7718891,-122.4314192,pub
4,node,61673273,37.7718647,-122.4332636,pub
5,node,61674029,37.7721197,-122.4370577,pub
6,node,61675193,37.7721282,-122.4227728,bar
7,node,61676294,37.7696815,-122.4487116,bar
8,node,61677300,37.7703394,-122.4451944,pub
9,node,61677421,37.7697699,-122.4480112,pub
10,node,61677472,37.7698733,-122.4472764,pub
11,node,61678646,37.7700421,-122.4460642,pub
12,node,61678786,37.7696002,-122.4493023,pub
13,node,61680526,37.7700458,-122.4485345,post_box
14,node,61690511,37.7949406,-122.3994384,post_office
15,node,61690921,37.7969638,-122.4056426,bar
16,node,61692662,37.7971431,-122.4058551,pub
17,node,61692712,37.7940403,-122.4015526,pub
18,node,61692857,37.7977871,-122.4007139,pub
19,node,65298104,37.7543985,-122.446474,parking
20,node,65314594,37.7848012,-122.4402826,parking_entrance
21,node,65321921,37.7956796,-122.4584133,parking
22,node,65333794,37.7827074,-122.429833,parking
23,node,65364705,37.7971873,-122.4112725,clinic
24,node,65370878,37.7964712,-122.4773577,parking
25,node,65370894,37.7957049,-122.4776543,parking
26,node,65372784,37.7126765,-122.4995631,parking
27,node,65372786,37.7134795,-122.5003211,parking
28,node,140982581,37.7813182,-122.4208044,cinema
29,node,171976907,37.7992426,-122.4590172,parking
30,node,171977807,37.7977988,-122.4589753,parking
31,node,171987082,37.8077348,-122.4746964,parking
32,node,171992579,37.7909152,-122.4840041,parking
33,node,172002185,37.7686689,-122.4221097,parking
34,node,173159347,37.7459985,-122.4811675,school
35,node,173168095,37.7671574,-122.4546226,parking
36,node,173194546,37.7127066,-122.4802937,school
37,node,174130096,37.7684682,-122.420268,fuel
38,node,258660066,37.804113,-122.4300018,parking
39,node,258679234,37.7826039,-122.5107104,parking
40,node,260876071,37.785112,-122.4994077,parking
41,node,263384340,37.7839224,-122.4038473,conference_centre
42,node,263990915,37.7846435,-122.3997984,parking
43,node,265506505,37.7529558,-122.4083276,pub
44,node,265687488,37.7535038,-122.4062257,pharmacy
45,node,265688213,37.7591681,-122.4065789,hospital
46,node,265688843,37.7792782,-122.4163816,library
47,node,265689505,37.7494868,-122.4087084,post_box
48,node,265871068,37.7949495,-122.3925123,ferry_terminal
49,node,265871362,37.7966427,-122.3962872,parking
50,node,266010490,37.7906634,-122.4596729,parking
51,node,266673515,37.7624802,-122.4282119,school
52,node,266903679,37.7648706,-122.4084275,parking
53,node,266903722,37.7631689,-122.4103136,post_box
54,node,266903723,37.7544904,-122.4015392,post_box
55,node,266903734,37.7607823,-122.4040056,post_box
56,node,266903737,37.7528919,-122.4092314,post_box
57,node,266903738,37.7560851,-122.4095333,post_box
58,node,266903739,37.7575121,-122.4094356,cafe
59,node,266903740,37.7591295,-122.4098394,post_box
60,node,266903741,37.761872,-122.410035,post_box
61,node,266903742,37.7666648,-122.4107311,post_office
62,node,266903743,37.7668252,-122.410717,post_box
63,node,267071508,37.8027363,-122.4348482,school
64,node,267125377,37.7159857,-122.4311754,parking
65,node,267125875,37.7128767,-122.4219314,school
66,node,267132587,37.7226965,-122.4144403,parking
67,node,267294237,37.7802778,-122.4174753,parking
68,node,267991244,37.7437257,-122.3768146,parking
69,node,267991255,37.7396642,-122.3712504,recycling
70,node,268914475,37.806999,-122.4145202,social_centre
71,node,274369355,37.7634003,-122.4185599,pub
72,node,274370053,37.7645378,-122.4211446,parking
73,node,274371220,37.7653893,-122.421373,parking
74,node,274373106,37.7623113,-122.4225621,parking
75,node,275513427,37.7428888,-122.4223685,parking
76,node,275550267,37.7848225,-122.4018719,fountain
77,node,275723361,37.764931,-122.4232384,pub
78,node,276542879,37.7827428,-122.4062669,parking
79,node,276545767,37.7678036,-122.4112074,parking
80,node,276545884,37.7692052,-122.4144581,parking
81,node,277332765,37.8074265,-122.472326,parking
82,node,277425091,37.7681498,-122.4240962,pub
83,node,277632541,37.7990112,-122.3986025,parking
84,node,277632561,37.7996059,-122.3999315,parking
85,node,279074099,37.8015972,-122.4003687,parking
86,node,279669363,37.7482275,-122.4048686,post_box
87,node,279669372,37.746508,-122.4065511,post_box
88,node,279669386,37.7476735,-122.409468,post_box
89,node,279669395,37.7481579,-122.4123923,school
90,node,280928727,37.7823897,-122.4056987,university
91,node,280929168,37.7776563,-122.4179456,theatre
92,node,281554975,37.7923518,-122.4831257,toilets
93,node,281555091,37.79316,-122.4828609,bicycle_parking
94,node,281555098,37.795346,-122.4822303,bicycle_parking
95,node,281555349,37.803185,-122.4770317,parking
